age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,two_year_recid,juv_fel_count,juv_misd_count,juv_other_count,c_days_from_compas,length_of_stay
69,F,Other,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,23.0
34,F,African-American,25 - 45,Low,Male,0,-1.0,3,1,0,0,0,1.0,241.0
24,F,African-American,Less than 25,Low,Male,4,-1.0,4,1,0,0,1,1.0,26.0
44,M,Other,25 - 45,Low,Male,0,0.0,1,0,0,0,0,0.0,31.0
41,F,Caucasian,25 - 45,Medium,Male,14,-1.0,6,1,0,0,0,1.0,151.0
43,F,Other,25 - 45,Low,Male,3,-1.0,4,0,0,0,0,1.0,23.0
39,M,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,0,0,0,1.0,70.0
27,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0,0,0,1.0,25.0
23,M,African-American,Less than 25,Medium,Male,3,0.0,6,1,0,0,0,0.0,100.0
37,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0,0,0,0.0,21.0
41,F,African-American,25 - 45,Low,Male,0,-1.0,4,0,0,0,0,1.0,14.0
47,F,Caucasian,Greater than 45,Low,Female,1,-20.0,1,1,0,0,0,490.0,342.0
31,F,African-American,25 - 45,Low,Male,7,22.0,3,1,0,0,0,71.0,74.0
37,M,Hispanic,25 - 45,Low,Male,0,0.0,1,0,0,0,0,0.0,5.0
25,F,African-American,25 - 45,High,Male,3,-1.0,10,0,0,0,0,1.0,27.0
31,F,Caucasian,25 - 45,Medium,Male,6,-1.0,5,1,0,0,0,1.0,25.0
31,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,1,0,0,0,1.0,27.0
64,F,African-American,Greater than 45,Medium,Male,13,-1.0,6,1,0,0,0,1.0,26.0
21,F,African-American,Less than 25,High,Male,1,-1.0,9,1,0,0,0,1.0,74.0
27,M,Caucasian,25 - 45,Low,Male,0,0.0,2,1,0,0,0,0.0,6.0
21,F,Caucasian,Less than 25,Low,Female,0,-2.0,4,0,0,0,0,2.0,27.0
24,F,Hispanic,Less than 25,Low,Male,1,0.0,4,1,0,0,0,1.0,23.0
43,M,Caucasian,25 - 45,Low,Male,1,-1.0,1,0,0,0,0,1.0,29.0
32,M,Other,25 - 45,Low,Male,0,-1.0,3,0,0,0,0,1.0,42.0
27,F,African-American,25 - 45,Low,Male,8,-1.0,3,1,0,0,0,1.0,408.0
26,F,African-American,25 - 45,Medium,Male,5,-1.0,7,1,0,0,1,1.0,22.0
33,F,African-American,25 - 45,High,Male,0,0.0,10,1,0,0,0,1.0,906.0
30,F,Caucasian,25 - 45,High,Male,9,0.0,9,1,0,0,0,0.0,1061.0
32,F,African-American,25 - 45,High,Male,4,-1.0,8,1,0,0,0,1.0,25.0
55,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,51.0
49,F,Other,Greater than 45,Low,Male,7,-1.0,3,1,0,0,0,0.0,94.0
33,M,Caucasian,25 - 45,Medium,Female,4,-1.0,5,1,0,0,0,1.0,267.0
24,M,Caucasian,Less than 25,Low,Male,1,0.0,2,1,0,0,0,0.0,27.0
34,F,African-American,25 - 45,High,Male,21,0.0,9,1,2,1,3,0.0,799.0
29,M,Caucasian,25 - 45,Low,Male,0,0.0,2,0,0,0,0,1.0,-6.0
21,F,African-American,Less than 25,High,Female,2,-1.0,8,0,0,0,0,1.0,1913.0
51,M,African-American,Greater than 45,Low,Male,2,-1.0,1,0,0,0,0,1.0,27.0
29,M,Caucasian,25 - 45,Low,Male,2,-1.0,2,1,0,0,0,1.0,17.0
51,F,African-American,Greater than 45,Low,Female,7,-1.0,2,0,0,0,0,1.0,40.0
29,F,African-American,25 - 45,Medium,Male,0,0.0,7,1,0,0,0,0.0,4.0
